scenario,component,current_law,plan_2146,change
"Married, 2 children · 100% + 33% AW",Nonrefundable child tax credit,4400.0,0.0,-4400.0
"Married, 2 children · 100% + 33% AW",Nonrefundable adult credit,0.0,6000.0,6000.0
"Married, 2 children · 100% + 33% AW",Refundable child credit,0.0,4000.0,4000.0
"Married, 2 children · 100% + 33% AW",Refundable adult wage credit,0.0,1000.0,1000.0
"Married, 2 children · 100% + 33% AW",Earned income tax credit,0.0,0.0,0.0
"Married, 2 children · 100% + 33% AW",Health-insurance credit,0.0,9000.0,9000.0
"Married, 2 children · 100% + 33% AW",Net federal tax before health credit,16040.654800000004,17597.44001354015,1556.7852135401445
"Married, 2 children · 100% + 33% AW",Net federal tax after health credit,16040.654800000004,8597.440013540148,-7443.2147864598555
"Married, 2 children · 100% + 33% AW",Gross annual health premium,27295.997421548702,20816.700868419397,-6479.296553129305
"Married, 2 children · 100% + 33% AW",Household-paid premium net of health credit,7314,11816.700868419397,4502.700868419397
"Married, 2 children · 100% + 33% AW",OECD labour-cost denominator,104702.3714,116724.2449532251,12021.873553225101
"Married, 2 children · 100% + 33% AW",Comprehensive employer labour cost,124684.3688215487,116724.2449532251,-7960.123868323601
"Married, 2 children · 100% + 33% AW",OECD-style federal tax wedge,0.1532024020613539,0.07365599166638773,-0.07954641039496618
"Married, 2 children · 100% + 33% AW",Full-compensation federal tax wedge,0.1286500862265885,0.07365599166638773,-0.05499409456020077
"Married, 2 children · 100% + 33% AW",Spendable cash after federal tax and insurance,81347.71660000001,87310.10407126555,5962.387471265538
"Married, 2 children · 100% + 33% AW",Spendable-cash wedge on comprehensive cost,0.347570851351649,0.25199684002022615,-0.09557401133142285
"Married, no children · 100% + 33% AW",Original gross cash wage,97781.6,97781.6,0.0
"Married, no children · 100% + 33% AW",Employer Social Security contribution,5766.3472,0.0,-5766.3472
"Married, no children · 100% + 33% AW",Employer Medicare contribution,1348.5812,0.0,-1348.5812
"Married, no children · 100% + 33% AW","Employer social-insurance contribution, total",7114.928400000001,0.0,-7114.928400000001
"Married, no children · 100% + 33% AW",Employer health-insurance contribution,13827.369439438326,0.0,-13827.369439438326
"Married, no children · 100% + 33% AW",Employer social-insurance cashout into wages,0.0,7114.928400000001,7114.928400000001
"Married, no children · 100% + 33% AW",Employer health-pool cashout into wages,0.0,12021.8735532251,12021.8735532251
"Married, no children · 100% + 33% AW",Gross cash wage after cashouts,97781.6,116918.40195322511,19136.801953225106
"Married, no children · 100% + 33% AW",Taxable cash wage,93005.6,116918.40195322511,23912.801953225106
"Married, no children · 100% + 33% AW",Individual/wage tax before credits,6903.6720000000005,28645.00847854015,21741.33647854015
"Married, no children · 100% + 33% AW",Employee Social Security contribution,5766.3472,0.0,-5766.3472
"Married, no children · 100% + 33% AW",Employee Medicare contribution,1348.5812,0.0,-1348.5812
"Married, no children · 100% + 33% AW",Additional employee Medicare tax,0.0,0.0,0.0
"Married, no children · 100% + 33% AW",Pre-credit federal tax and social contributions,21133.5288,28645.00847854015,7511.479678540149
"Married, no children · 100% + 33% AW",Nonrefundable child tax credit,0.0,0.0,0.0
"Married, no children · 100% + 33% AW",Nonrefundable adult credit,0.0,6000.0,6000.0
"Married, no children · 100% + 33% AW",Refundable child credit,0.0,0.0,0.0
"Married, no children · 100% + 33% AW",Refundable adult wage credit,0.0,1000.0,1000.0
